STRUCT	ENCUT	KX	KY	KZ	ENERGY	VOLUME
AlAg	700.0	08	08	08	-399.61596798	1626.38
AlAg	700.0	08	08	08	-401.82216703	1676.68
AlAg	700.0	08	08	08	-403.08421730	1728.00
AlAg	700.0	08	08	08	-403.49589291	1780.36
AlAg	700.0	08	08	08	-403.14263404	1833.77
AlAg	700.0	08	08	08	-402.10325172	1888.23
AlAg	700.0	08	08	08	-400.45102610	1943.76
AlAu	700.0	08	08	08	-400.81352537	1626.38
AlAu	700.0	08	08	08	-403.00732407	1676.68
AlAu	700.0	08	08	08	-404.25392764	1728.00
AlAu	700.0	08	08	08	-404.64744403	1780.36
AlAu	700.0	08	08	08	-404.27371691	1833.77
AlAu	700.0	08	08	08	-403.21204302	1888.23
AlAu	700.0	08	08	08	-401.53627440	1943.76
AlC	700.0	08	08	08	-402.65580971	1626.38
AlC	700.0	08	08	08	-404.63677535	1676.68
AlC	700.0	08	08	08	-405.69352064	1728.00
AlC	700.0	08	08	08	-405.91786496	1780.36
AlC	700.0	08	08	08	-405.39400738	1833.77
AlC	700.0	08	08	08	-404.19987306	1888.23
AlC	700.0	08	08	08	-402.40801506	1943.76
AlCa	700.0	08	08	08	-397.82393106	1626.38
AlCa	700.0	08	08	08	-400.27844633	1676.68
AlCa	700.0	08	08	08	-401.78301074	1728.00
AlCa	700.0	08	08	08	-402.42973479	1780.36
AlCa	700.0	08	08	08	-402.30322679	1833.77
AlCa	700.0	08	08	08	-401.48231123	1888.23
AlCa	700.0	08	08	08	-400.04048014	1943.76
AlCl	700.0	08	08	08	-397.47410479	1626.38
AlCl	700.0	08	08	08	-399.77769870	1676.68
AlCl	700.0	08	08	08	-401.14430946	1728.00
AlCl	700.0	08	08	08	-401.66585561	1780.36
AlCl	700.0	08	08	08	-401.42682871	1833.77
AlCl	700.0	08	08	08	-400.50571176	1888.23
AlCl	700.0	08	08	08	-398.97569456	1943.76
AlGa	700.0	08	08	08	-399.78319658	1626.38
AlGa	700.0	08	08	08	-401.97549036	1676.68
AlGa	700.0	08	08	08	-403.23079946	1728.00
AlGa	700.0	08	08	08	-403.64080473	1780.36
AlGa	700.0	08	08	08	-403.28957875	1833.77
AlGa	700.0	08	08	08	-402.25525851	1888.23
AlGa	700.0	08	08	08	-400.61116640	1943.76
AlLi	700.0	08	08	08	-399.35431727	1626.38
AlLi	700.0	08	08	08	-401.49206210	1676.68
AlLi	700.0	08	08	08	-402.70124650	1728.00
AlLi	700.0	08	08	08	-403.07383809	1780.36
AlLi	700.0	08	08	08	-402.69361142	1833.77
AlLi	700.0	08	08	08	-401.63795288	1888.23
AlLi	700.0	08	08	08	-399.97878917	1943.76
AlN	700.0	08	08	08	-402.81171004	1626.38
AlN	700.0	08	08	08	-404.80216786	1676.68
AlN	700.0	08	08	08	-405.86721703	1728.00
AlN	700.0	08	08	08	-406.09913899	1780.36
AlN	700.0	08	08	08	-405.58248765	1833.77
AlN	700.0	08	08	08	-404.39542598	1888.23
AlN	700.0	08	08	08	-402.61061549	1943.76
AlS	700.0	08	08	08	-400.63833917	1626.38
AlS	700.0	08	08	08	-402.82062331	1676.68
AlS	700.0	08	08	08	-404.06740933	1728.00
AlS	700.0	08	08	08	-404.47053473	1780.36
AlS	700.0	08	08	08	-404.11446937	1833.77
AlS	700.0	08	08	08	-403.07767651	1888.23
AlS	700.0	08	08	08	-401.43324526	1943.76
AlTi	700.0	08	08	08	-405.96704117	1626.38
AlTi	700.0	08	08	08	-408.15083581	1676.68
AlTi	700.0	08	08	08	-409.38574448	1728.00
AlTi	700.0	08	08	08	-409.76443246	1780.36
AlTi	700.0	08	08	08	-409.37244840	1833.77
AlTi	700.0	08	08	08	-408.28933029	1888.23
AlTi	700.0	08	08	08	-406.58944950	1943.76
AlAs	700.0	08	08	08	-401.16635113	1626.38
AlAs	700.0	08	08	08	-403.39694327	1676.68
AlAs	700.0	08	08	08	-404.68463887	1728.00
AlAs	700.0	08	08	08	-405.12145871	1780.36
AlAs	700.0	08	08	08	-404.79224674	1833.77
AlAs	700.0	08	08	08	-403.77599998	1888.23
AlAs	700.0	08	08	08	-402.14648975	1943.76
AlAt	700.0	08	08	08	-394.09350038	1626.38
AlAt	700.0	08	08	08	-396.71635506	1676.68
AlAt	700.0	08	08	08	-398.37518602	1728.00
AlAt	700.0	08	08	08	-399.16373109	1780.36
AlAt	700.0	08	08	08	-399.16900710	1833.77
AlAt	700.0	08	08	08	-398.47252686	1888.23
AlAt	700.0	08	08	08	-397.15075032	1943.76
AlB	700.0	08	08	08	-401.86164410	1626.38
AlB	700.0	08	08	08	-403.84442098	1676.68
AlB	700.0	08	08	08	-404.90438535	1728.00
AlB	700.0	08	08	08	-405.13266867	1780.36
AlB	700.0	08	08	08	-404.61292287	1833.77
AlB	700.0	08	08	08	-403.42284304	1888.23
AlB	700.0	08	08	08	-401.63499168	1943.76
AlBa	700.0	08	08	08	-394.87849297	1626.38
AlBa	700.0	08	08	08	-397.61828225	1676.68
AlBa	700.0	08	08	08	-399.39906075	1728.00
AlBa	700.0	08	08	08	-400.31342103	1780.36
AlBa	700.0	08	08	08	-400.44702320	1833.77
AlBa	700.0	08	08	08	-399.87989995	1888.23
AlBa	700.0	08	08	08	-398.68691289	1943.76
AlBe	700.0	08	08	08	-400.47357948	1626.38
AlBe	700.0	08	08	08	-402.50864073	1676.68
AlBe	700.0	08	08	08	-403.61730231	1728.00
AlBe	700.0	08	08	08	-403.89113112	1780.36
AlBe	700.0	08	08	08	-403.41358682	1833.77
AlBe	700.0	08	08	08	-402.26184803	1888.23
AlBe	700.0	08	08	08	-400.50795634	1943.76
AlBi	700.0	08	08	08	-398.25706840	1626.38
AlBi	700.0	08	08	08	-400.78758485	1676.68
AlBi	700.0	08	08	08	-402.35585587	1728.00
AlBi	700.0	08	08	08	-403.05458211	1780.36
AlBi	700.0	08	08	08	-402.96943728	1833.77
AlBi	700.0	08	08	08	-402.18062173	1888.23
AlBi	700.0	08	08	08	-400.76325610	1943.76
AlBr	700.0	08	08	08	-396.38716284	1626.38
AlBr	700.0	08	08	08	-398.76569279	1676.68
AlBr	700.0	08	08	08	-400.20206963	1728.00
AlBr	700.0	08	08	08	-400.78864324	1780.36
AlBr	700.0	08	08	08	-400.61049394	1833.77
AlBr	700.0	08	08	08	-399.74685836	1888.23
AlBr	700.0	08	08	08	-398.27175336	1943.76
AlCd	700.0	08	08	08	-396.80628205	1626.38
AlCd	700.0	08	08	08	-399.10847866	1676.68
AlCd	700.0	08	08	08	-400.46429057	1728.00
AlCd	700.0	08	08	08	-400.96676233	1780.36
AlCd	700.0	08	08	08	-400.70080448	1833.77
AlCd	700.0	08	08	08	-399.74503972	1888.23
AlCd	700.0	08	08	08	-398.17288929	1943.76
AlCo	700.0	08	08	08	-405.33344571	1626.38
AlCo	700.0	08	08	08	-407.30937280	1676.68
AlCo	700.0	08	08	08	-408.35113135	1728.00
AlCo	700.0	08	08	08	-408.55286894	1780.36
AlCo	700.0	08	08	08	-408.00065142	1833.77
AlCo	700.0	08	08	08	-406.77371302	1888.23
AlCo	700.0	08	08	08	-404.94549301	1943.76
AlCr	700.0	08	08	08	-407.14065085	1626.38
AlCr	700.0	08	08	08	-409.17096204	1676.68
AlCr	700.0	08	08	08	-410.26002160	1728.00
AlCr	700.0	08	08	08	-410.50146729	1780.36
AlCr	700.0	08	08	08	-409.98154044	1833.77
AlCr	700.0	08	08	08	-408.78019626	1888.23
AlCr	700.0	08	08	08	-406.97159888	1943.76
AlCs	700.0	08	08	08	-391.51681248	1626.38
AlCs	700.0	08	08	08	-394.23017011	1676.68
AlCs	700.0	08	08	08	-395.99397759	1728.00
AlCs	700.0	08	08	08	-396.90157863	1780.36
AlCs	700.0	08	08	08	-397.03957042	1833.77
AlCs	700.0	08	08	08	-396.48914901	1888.23
AlCs	700.0	08	08	08	-395.32679544	1943.76
AlCu	700.0	08	08	08	-401.18806514	1626.38
AlCu	700.0	08	08	08	-403.26274084	1676.68
AlCu	700.0	08	08	08	-404.40466064	1728.00
AlCu	700.0	08	08	08	-404.70669834	1780.36
AlCu	700.0	08	08	08	-404.25336800	1833.77
AlCu	700.0	08	08	08	-403.12256767	1888.23
AlCu	700.0	08	08	08	-401.38676944	1943.76
AlF	700.0	08	08	08	-400.44763565	1626.38
AlF	700.0	08	08	08	-402.58736400	1676.68
AlF	700.0	08	08	08	-403.79469532	1728.00
AlF	700.0	08	08	08	-404.16213060	1780.36
AlF	700.0	08	08	08	-403.77424761	1833.77
AlF	700.0	08	08	08	-402.70916691	1888.23
AlF	700.0	08	08	08	-401.03937210	1943.76
AlFe	700.0	08	08	08	-406.32246399	1626.38
AlFe	700.0	08	08	08	-408.29403595	1676.68
AlFe	700.0	08	08	08	-409.32960556	1728.00
AlFe	700.0	08	08	08	-409.52343180	1780.36
AlFe	700.0	08	08	08	-408.96189772	1833.77
AlFe	700.0	08	08	08	-407.72478398	1888.23
AlFe	700.0	08	08	08	-405.88579003	1943.76
AlGe	700.0	08	08	08	-401.07416996	1626.38
AlGe	700.0	08	08	08	-403.28603060	1676.68
AlGe	700.0	08	08	08	-404.55796672	1728.00
AlGe	700.0	08	08	08	-404.98167176	1780.36
AlGe	700.0	08	08	08	-404.64155090	1833.77
AlGe	700.0	08	08	08	-403.61627353	1888.23
AlGe	700.0	08	08	08	-401.97941293	1943.76
AlHf	700.0	08	08	08	-407.51391951	1626.38
AlHf	700.0	08	08	08	-409.83120870	1676.68
AlHf	700.0	08	08	08	-411.18811234	1728.00
AlHf	700.0	08	08	08	-411.67762842	1780.36
AlHf	700.0	08	08	08	-411.38567189	1833.77
AlHf	700.0	08	08	08	-410.39236320	1888.23
AlHf	700.0	08	08	08	-408.77253840	1943.76
AlHg	700.0	08	08	08	-396.10344019	1626.38
AlHg	700.0	08	08	08	-398.41745863	1676.68
AlHg	700.0	08	08	08	-399.78290991	1728.00
AlHg	700.0	08	08	08	-400.29313187	1780.36
AlHg	700.0	08	08	08	-400.03338798	1833.77
AlHg	700.0	08	08	08	-399.08274113	1888.23
AlHg	700.0	08	08	08	-397.51511562	1943.76
AlI	700.0	08	08	08	-394.95601589	1626.38
AlI	700.0	08	08	08	-397.46028325	1676.68
AlI	700.0	08	08	08	-399.01120452	1728.00
AlI	700.0	08	08	08	-399.70208482	1780.36
AlI	700.0	08	08	08	-399.61918352	1833.77
AlI	700.0	08	08	08	-398.84332610	1888.23
AlI	700.0	08	08	08	-397.45020984	1943.76
AlIn	700.0	08	08	08	-398.30881100	1626.38
AlIn	700.0	08	08	08	-400.66386534	1676.68
AlIn	700.0	08	08	08	-402.06966857	1728.00
AlIn	700.0	08	08	08	-402.61878043	1780.36
AlIn	700.0	08	08	08	-402.39599302	1833.77
AlIn	700.0	08	08	08	-401.48021852	1888.23
AlIn	700.0	08	08	08	-399.94544390	1943.76
AlIr	700.0	08	08	08	-408.15530695	1626.38
AlIr	700.0	08	08	08	-410.20678882	1676.68
AlIr	700.0	08	08	08	-411.30944001	1728.00
AlIr	700.0	08	08	08	-411.55885969	1780.36
AlIr	700.0	08	08	08	-411.04262830	1833.77
AlIr	700.0	08	08	08	-409.84157319	1888.23
AlIr	700.0	08	08	08	-408.03062918	1943.76
AlK	700.0	08	08	08	-394.22273116	1626.38
AlK	700.0	08	08	08	-396.74890777	1676.68
AlK	700.0	08	08	08	-398.33058294	1728.00
AlK	700.0	08	08	08	-399.06001129	1780.36
AlK	700.0	08	08	08	-399.02221233	1833.77
AlK	700.0	08	08	08	-398.29630478	1888.23
